,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01,164944.16,202504.06,19830.87,1423.64,5209.142,12658.445,4456.294,2114.826,1449.482,29.194,636.54,863.499,8670.913,3304.232,458.456,160.241,1608.057,161598.06,206758.73,13586.818,1450.041,2712.435,10111.398,2899.156,863.41,617.403,16.396,2797.59,253.338,263.579,2518.484
03,186082.39,237595.66,17410.074,2054.868,46.425,533.997,5866.877,2432.263,1365.105,489.023,800.291,4.278,4191.095,3260.182,510.209,108.205,2723.39,174166.08,223380.95,14760.312,1800.248,0.256,5.339,4626.328,3147.568,937.08,0.0,1754.044,423.698,180.188,639.57
05,182018.55,222839.08,25314.182,1866.444,566.234,2712.251,5399.507,3516.435,4590.743,1043.649,1523.423,0.0,9359.183,2604.029,891.98,488.858,3070.15,181414.78,223930.98,22030.578,1612.819,1494.025,5529.04,4567.842,2980.566,2803.562,315.841,2697.688,719.767,381.462,2559.238
12,184552.66,234909.36,8589.485,887.88,6988.677,20113.787,4506.863,3386.122,2381.744,240.89,84.218,21.162,10624.774,3450.889,931.372,201.872,1314.302,182550.81,231820.61,8088.387,924.167,5956.331,16993.543,5087.699,2846.072,3340.13,472.972,3630.684,977.503,170.878,2460.995
13,165821.19,227519.6,4849.707,576.994,1822.645,11356.919,802.973,1759.133,146.487,0.0,2.967,0.0,4186.153,1939.516,332.601,60.837,3.281,167502.31,218308.98,5224.126,562.884,790.817,7222.236,4631.74,2823.654,2347.49,760.502,2414.346,701.133,161.282,1532.218
17,234522.48,282542.44,24676.102,944.534,146.333,1662.321,4637.683,3509.76,3123.625,289.537,17.08,0.0,201.552,2752.392,114.947,242.044,751.283,199887.17,274140.1,17865.395,369.522,38.85,505.948,1188.615,1722.025,14.2,0.0,974.032,0.0,7.048,43.026
18,188199.66,238093.94,19197.957,955.015,3629.83,16835.555,5197.356,4133.312,2540.64,18.486,75.538,0.0,3836.7,3558.178,691.855,265.123,2026.376,183322.78,226638.06,12694.688,853.179,445.281,2328.022,2918.621,3837.571,2000.857,0.0,2147.902,250.209,198.763,10.562
19,238196.28,290546.62,10053.135,975.907,6974.94,22655.957,7211.141,4360.191,4853.084,1349.48,680.951,39.153,13928.574,4109.343,1863.43,841.484,3587.035,229280.75,273816.34,10980.917,1150.735,6489.634,24690.135,5455.816,4326.217,3378.218,586.083,3808.877,1329.247,606.405,3252.955
21,221367.02,288133.8,2827.752,837.284,80.692,4412.02,4030.289,111.668,918.392,0.0,0.0,0.0,3624.784,3927.214,1598.476,0.0,1114.57,201583.75,276423.0,3921.504,803.872,508.371,2550.452,1933.628,284.289,76.278,0.0,3135.284,484.044,0.0,189.77
34,183795.23,236973.8,18155.664,1155.966,745.199,7444.418,3617.996,3834.336,1219.837,203.687,11.486,0.0,101.299,1856.026,57.146,364.063,180.424,182979.66,244879.36,15342.092,890.186,111.038,953.613,2478.13,2914.364,35.601,0.0,1759.216,149.672,43.902,1.046
39,219218.48,263340.53,13321.301,852.743,9285.481,30086.25,6814.934,3903.48,2147.226,21.222,433.056,195.131,11710.906,3979.518,795.657,394.137,2993.764,216766.17,262849.97,12896.165,537.809,4281.76,18658.428,3532.566,2966.914,132.538,0.0,2466.247,1.099,163.061,1070.171
