,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,177482.31,190888.89,18437.75,1239.54,14993.959,50160.902,6232.858,2613.183,2534.043,1071.11,787.092,1793.844,18096.451,3208.152,967.393,414.203,2821.542,180047.84,202741.3,18000.805,717.245,11072.428,43777.363,4079.269,2362.109,2877.664,526.278,3112.81,1265.052,169.184,3261.173
03.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,231235.89,233782.52,15150.172,1134.289,11576.596,54876.43,8713.876,4341.774,4489.248,1559.352,2092.833,256.267,14168.941,3396.395,1888.428,889.673,3717.854,217495.4,232313.25,14835.23,1259.092,8655.156,47334.71,7299.092,3945.082,5021.16,1261.98,3811.241,1637.283,718.333,4680.27
05.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,213346.73,226236.94,20919.043,954.132,8559.345,45797.92,6839.526,3071.111,3915.898,1415.858,1715.048,471.7,18892.93,3391.62,1129.346,599.93,3406.601,210721.62,218942.77,19531.738,1769.224,10316.781,36884.605,6893.677,2159.175,4787.56,1117.549,3338.788,1365.288,661.391,2986.35
12.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,209925.56,230808.58,6377.802,223.882,14182.381,60010.605,8528.498,4308.982,4614.888,1622.299,508.931,1055.088,21891.633,3846.108,1461.558,695.957,3781.755,210498.69,230191.23,7125.176,496.259,13459.762,55092.43,7108.068,4170.404,5147.865,1411.221,3697.981,1604.989,666.832,3674.998
13.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,201663.81,227543.16,4640.582,242.387,15845.175,57804.23,7401.842,3628.975,4553.44,1622.86,588.062,1282.001,19634.785,3536.986,1694.233,817.388,3986.221,191340.1,215378.48,4105.338,280.021,13029.813,52235.008,5910.82,3335.909,5314.415,1692.199,3465.864,1732.448,676.835,3773.159
17.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,280383.1,290485.62,21718.934,360.178,8010.372,31185.605,10913.569,4327.592,5106.938,1869.938,1278.825,46.388,11160.253,4022.34,1121.296,686.21,4748.487,271955.94,300569.06,22905.623,243.068,2901.343,22427.914,9092.359,3374.067,5671.646,1623.464,3299.854,769.885,598.254,4604.698
18.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,213639.88,232024.44,14802.461,411.031,14695.98,56172.895,9629.133,4400.309,5291.698,2067.113,947.46,1509.276,22215.682,3665.308,1902.27,811.014,3997.084,207456.5,222919.12,11273.794,503.497,13778.816,52443.137,7615.2,3965.638,5723.48,1712.721,4188.07,1758.739,819.846,3969.483
19.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,263796.97,277792.7,8036.0,582.635,18127.62,64581.027,9991.528,4197.192,5067.756,2030.182,925.571,1208.114,24491.938,4425.969,2350.103,865.146,4270.31,256937.5,270142.1,7893.67,722.052,17039.168,61292.926,8549.615,3675.982,5569.626,1820.53,4948.274,2769.213,861.972,4281.881
21.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,258127.88,299226.38,4881.624,467.36,10733.153,50696.65,8575.069,3981.165,5702.827,1888.574,823.431,297.174,17924.31,4399.12,2310.74,761.534,4088.484,252912.39,289523.72,7892.042,396.605,9822.293,56044.58,7730.998,3926.52,6145.628,1968.04,4361.634,2186.107,840.911,3716.386
34.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,216977.19,239956.97,15694.017,962.727,13738.177,53952.777,10004.708,4101.931,4070.369,1501.958,1041.581,545.904,20293.701,3541.885,1656.208,668.655,4289.0,215209.61,238013.28,13415.987,763.451,13709.019,59728.766,8459.931,3520.528,4703.614,1536.349,4304.922,1960.383,694.517,4421.62
39.nii_SR_nonoise_3D_orig_1e2GAN_T2_denois_cycle_2.nii,258386.06,272887.3,9249.498,303.635,17523.195,64031.246,9970.849,4503.317,5747.302,1915.298,820.958,1513.951,25775.227,3920.519,1810.118,850.736,5093.688,251913.47,264410.1,9565.438,419.687,16116.545,58814.82,8392.455,4059.673,6314.726,1595.789,4243.585,2000.518,735.506,4942.811
