,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,225188.97,219201.95,4555.33,1387.151,6688.082,12833.22,4850.302,80.176,3460.891,815.738,31.193,141.147,11874.996,3197.045,655.386,3.084,2417.084,193338.48,208731.95,241.984,1074.381,742.38,501.21,1771.422,0.0,352.554,0.0,2480.184,0.0,0.0,1980.638
03.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,218788.38,226663.44,14972.984,1882.23,0.579,0.021,5279.566,2398.141,2172.638,935.216,1058.26,0.0,3314.666,4506.491,936.535,155.142,3221.068,198355.72,221098.1,11348.381,657.509,0.033,1.118,5593.009,1753.266,2750.128,1466.64,1572.669,12.106,0.0,1354.78
05.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,199196.08,206259.9,10118.722,2322.655,71.125,14.337,4246.822,200.249,2302.14,212.782,234.151,0.0,3725.077,3005.026,101.405,0.0,1618.701,191753.73,203382.0,13483.039,2135.015,66.534,1808.949,5012.23,639.411,2396.295,555.826,3081.298,46.199,0.0,961.741
12.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,196856.53,213324.72,9918.689,595.581,14709.634,38794.34,6756.89,2825.683,3328.168,478.564,584.256,1713.004,17593.67,4043.424,1373.185,88.426,4113.383,192277.3,211900.8,10266.498,882.419,15145.757,37586.92,5467.803,3102.409,4197.226,1633.259,4206.899,1320.6,143.626,3696.363
13.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,174921.11,201677.58,7090.662,668.586,10368.847,28768.44,6426.155,2488.275,1224.42,0.0,622.545,527.585,13046.514,2029.411,324.376,32.318,2223.542,170476.06,197693.83,6139.902,735.941,13649.298,29528.92,6106.77,3351.21,4421.594,850.519,2886.515,752.244,91.737,2639.349
17.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,283219.12,263163.53,21995.043,1198.231,380.079,969.398,6710.575,2934.154,2050.468,574.963,931.035,0.0,5883.412,4390.744,220.554,89.546,3880.583,265612.84,266703.75,17743.355,1514.446,36.31,653.33,5480.965,2746.663,3769.922,1154.587,3528.62,862.213,0.0,2290.619
18.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,221631.66,229889.1,11712.12,882.769,12005.033,27207.297,6481.238,2615.384,4297.266,1855.362,758.183,1302.37,17110.21,4496.308,1472.97,123.905,3661.916,198461.19,212257.22,13564.98,787.937,12407.142,27067.754,4779.772,3378.18,4948.224,2098.6,3652.971,1193.656,360.925,3867.645
19.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,251715.66,257557.86,11130.153,553.958,12864.023,38238.633,8758.121,4045.502,3555.974,1376.059,1204.469,1211.803,14778.53,4390.14,1481.823,494.891,4134.805,241816.39,252271.27,11797.525,1071.802,14596.085,41445.93,5978.396,3714.82,4865.258,2337.038,5117.798,1973.227,533.704,4185.03
21.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,244358.9,272038.94,6188.925,1054.628,76.033,2293.963,6208.502,2964.271,4519.982,1399.956,1375.672,0.0,2559.822,4586.774,1482.34,319.845,3844.099,235463.06,263844.44,11685.241,1037.438,18.839,738.892,6150.874,3610.414,3710.667,1954.84,3551.56,1587.813,248.959,2425.782
34.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,215226.7,226421.92,18072.457,1673.552,1897.498,13209.893,7538.023,2944.758,2409.37,160.593,1525.289,205.198,11394.607,4598.213,1128.398,0.778,3629.712,211231.9,222581.8,19308.652,1279.825,886.47,1730.709,5605.808,3447.317,4317.642,1619.317,4265.688,1386.809,299.739,3479.722
39.nii_SR_nonoise_3D_orig_1e2GAN_denois_new_fcut_2.nii,249730.75,250726.06,12703.131,667.298,15236.367,37094.57,8960.137,4319.248,4151.334,836.104,943.159,1848.272,19971.088,4725.952,1325.413,356.847,5003.204,244619.88,249257.55,12626.256,723.629,18143.57,39167.504,7196.972,3943.458,5024.709,2072.45,4117.242,1375.53,231.727,4380.394
