,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,186228.52,241828.16,3188.384,43.129,0.343,6.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.109,215.071,0.0,0.0,120722.016,205844.67,90.949,1.322,2.175,106.048,0.0,0.443,0.0,0.0,0.327,0.0,0.0,0.0
03.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,195732.22,247359.36,5067.489,2243.13,19.421,0.713,3053.303,432.371,1343.732,8.483,1.156,2.072,4357.53,3970.686,228.734,22.098,275.189,172344.22,228947.06,1803.064,445.843,25.822,10.341,3392.535,183.002,900.923,0.0,392.875,3.784,0.0,16.07
05.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,177101.72,216181.11,6579.854,1686.132,2.143,19.379,102.958,103.382,170.201,0.0,57.733,0.0,58.112,2016.826,90.813,18.084,0.0,173489.66,218362.03,5046.224,1373.91,21.03,243.13,449.159,238.928,96.477,0.0,1839.415,167.94,1.641,57.395
12.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,176466.53,226918.6,10266.675,984.145,13325.831,42569.535,5547.97,2870.364,2871.153,140.095,634.577,1285.582,18138.396,2999.256,1181.951,314.484,2598.56,176732.22,227444.05,10442.458,964.567,14708.315,43518.97,5046.825,2940.883,4125.374,903.026,3480.786,1369.486,307.108,2632.226
13.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,160342.88,215168.25,1940.634,424.001,12679.392,40267.74,0.0,764.553,722.957,0.0,0.0,1999.92,12437.659,712.164,0.0,0.0,1.476,163781.98,209557.19,2242.396,615.43,12337.714,40032.68,5194.812,1941.948,3638.453,77.245,1949.565,712.623,54.611,524.778
17.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,243648.95,280511.78,16407.541,1306.676,67.471,300.268,3319.486,2972.512,5077.388,764.654,0.595,2.589,3198.822,4915.096,1428.148,159.272,1892.159,235650.3,295397.7,3539.886,1553.899,0.131,6.202,77.003,1764.585,1398.92,26.409,1923.788,706.637,0.0,0.0
18.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,197567.48,240169.75,13306.732,1104.456,15446.905,44866.977,5070.717,2547.964,4808.741,1329.969,813.66,1996.886,19543.432,4516.364,1300.17,293.775,3648.543,186355.33,228826.97,12808.784,1176.634,13755.104,40713.188,5611.772,2363.684,3808.262,69.72,4125.155,1771.569,475.085,2958.099
19.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,229186.6,284643.9,12240.856,989.618,15667.641,46837.39,6689.69,3331.384,2838.142,109.446,1151.612,1200.845,19438.22,4311.996,1645.789,463.227,2674.277,225984.34,280186.78,11716.754,1219.902,15783.282,47847.59,8248.243,3510.196,4133.73,728.399,3791.266,1755.19,283.635,2996.675
21.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,219697.45,286966.2,4486.629,1349.568,0.794,4.846,4164.216,1907.796,2672.304,653.062,23.795,0.595,15.893,3390.676,1162.574,229.935,14.237,214803.66,281288.12,9296.759,1051.381,0.306,0.037,5547.257,2867.366,1714.176,2.789,2158.383,716.517,160.643,43.648
34.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,199260.47,254452.17,5223.209,1611.359,127.531,2414.45,2204.157,958.031,540.05,0.0,0.0,3.131,7666.813,2509.404,39.011,1.717,278.304,191160.83,244279.23,11114.42,1816.745,68.405,3.412,1117.966,420.39,860.708,0.0,2994.84,757.073,20.006,525.732
39.nii_SR_trainedwithnoise_3D_newdataaug_cycle_2.nii,214856.77,270403.5,15172.686,961.373,16741.521,47152.44,6565.135,3771.906,4704.054,826.645,1009.781,2164.27,22069.943,3479.51,1158.751,426.099,3547.99,216937.9,271616.62,14242.976,932.29,15191.695,34443.03,7457.648,4066.234,2563.18,101.77,3296.159,1127.601,328.373,2269.938
