,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,26,28,41,42,43,44,46,47,49,50,51,52,53,54,58,60
01.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,228501.11,242342.22,16743.672,57.594,6464.51,46192.715,4410.108,4000.398,1180.164,307.141,0.561,0.0,5677.194,3260.111,245.068,240.602,2478.161,218574.4,254527.78,8739.618,44.089,1818.223,33393.51,1222.476,303.111,317.363,0.0,1642.017,7.458,0.0,145.391
03.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,225865.8,248628.31,18338.7,447.038,3168.99,32377.588,8656.88,3483.711,3011.684,713.796,1632.506,0.0,9477.1,4408.544,1124.36,676.493,3406.56,213918.66,243214.16,18497.584,414.035,413.998,10734.369,6957.536,3196.078,2588.788,695.975,3341.941,884.786,538.183,3181.787
05.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,196227.62,223155.39,28936.975,1550.336,923.169,37488.453,6372.348,4111.569,3822.199,1116.243,1787.104,0.0,12173.391,2998.844,676.77,464.394,3276.068,193732.06,221609.48,24843.518,1605.086,1463.419,23864.059,6088.128,2903.763,3688.282,1065.69,3614.135,1392.172,526.456,3253.05
12.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,195327.33,230113.86,9579.968,201.327,12803.28,48751.43,7831.091,3281.78,3174.202,1201.502,578.274,1274.703,21620.16,3397.8,1285.722,759.233,3987.42,197459.45,233736.3,9454.025,621.931,13668.365,48371.375,5655.09,3361.177,4706.955,922.744,4037.064,1638.564,660.448,3854.736
13.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,189205.72,214509.56,5806.158,225.848,13715.967,51042.652,6240.276,3195.334,2771.132,1022.77,535.809,1868.678,19207.314,2828.952,989.818,470.022,3314.374,180955.14,210314.95,4921.292,101.738,11344.201,44894.285,6934.046,3176.27,4539.57,842.133,2999.887,1424.918,795.095,3234.079
17.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,257621.88,277826.3,31357.043,88.875,531.866,16905.334,7645.8,4141.237,4998.647,1683.455,1890.017,13.705,10843.064,4281.197,1808.207,541.319,3888.532,255753.56,291428.3,28837.715,445.716,1511.784,19023.512,7070.879,4391.028,5422.663,1728.914,3644.656,1209.055,366.984,3346.546
18.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,212439.08,237723.97,18360.281,411.816,15552.191,52923.24,7723.478,3620.176,4366.128,1603.731,906.459,1428.902,23309.396,4286.322,1885.958,591.285,3689.755,203844.05,234596.1,15796.091,448.969,13683.785,49371.734,6634.618,3122.217,4881.294,777.348,4173.346,1587.175,643.663,3704.714
19.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,257155.55,284149.7,10789.947,315.152,16615.895,59027.188,10859.415,3794.695,3368.848,1178.226,1067.762,1509.824,24474.342,4228.092,1885.843,789.844,4391.651,255159.36,285953.12,10948.887,651.694,15928.223,55169.59,9069.286,2905.595,5044.046,1372.005,4679.89,2278.265,729.495,4817.054
21.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,240695.23,291350.16,6297.24,142.706,5194.408,33485.92,7784.118,3165.726,4521.934,1404.203,954.612,0.768,8709.108,5053.506,1788.76,934.942,3997.086,235623.08,289088.8,9969.861,598.019,666.142,19533.55,8037.84,3980.74,4074.89,1270.574,4111.816,1919.809,910.851,4081.763
34.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,209162.03,240577.4,20550.514,617.64,13129.39,50901.58,9008.011,2833.535,2851.729,1361.805,1519.022,627.481,17620.945,4007.515,1410.607,381.588,3982.539,209120.27,248242.14,20919.436,1145.17,11293.888,64744.79,7789.842,3034.444,3917.466,1205.068,4575.905,1971.094,523.194,3839.767
39.nii_SR_trainedwithnoise_3D_orig_1e3GANlr1e5_T2_new_cycle_4.nii,245510.77,269438.78,13908.384,230.24,17711.236,58455.844,9462.491,3804.778,4050.956,1291.374,1118.424,2540.247,26119.717,4504.521,1814.296,742.262,4234.753,238872.44,268089.03,12908.28,407.282,15368.419,54049.723,9258.918,3931.962,5407.49,1150.813,4586.19,1935.342,779.013,4645.438
